45000	6.17E-03
55000	6.30E-03
65000	6.30E-03
75000	6.41E-03
85000	6.74E-03
95000	6.78E-03
100000	7.26E-03
120000	7.04E-03
150000	7.35E-03
170000	8.26E-03
180000	1.37E-02
190000	9.67E-03
200000	1.10E-02
210000	9.67E-03
220000	9.08E-03
230000	9.59E-03
235000	9.36E-03
240000	1.09E-02
245000	9.54E-03
250000	7.64E-03
260000	7.86E-03
270000	1.07E-02
280000	8.11E-03
300000	7.40E-03
325000	8.68E-03
350000	7.43E-03
375000	7.99E-03
400000	8.07E-03
425000	9.27E-03
450000	8.04E-03
475000	8.28E-03
500000	6.92E-03
520000	8.00E-03
540000	7.20E-03
570000	7.84E-03
600000	6.98E-03
650000	6.51E-03
700000	6.66E-03
750000	6.42E-03
800000	6.47E-03
850000	6.55E-03
900000	6.60E-03
940000	6.69E-03
960000	7.04E-03
980000	7.85E-03
1000000	6.04E-03
1100000	5.75E-03
1250000	5.84E-03
1400000	5.99E-03
1600000	5.71E-03
1800000	5.87E-03
2000000	5.98E-03
2200000	6.04E-03
2400000	5.96E-03
2600000	6.15E-03
2800000	6.72E-03
3000000	5.94E-03
3600000	5.79E-03
4000000	5.90E-03
4500000	6.05E-03
4700000	6.26E-03
5000000	6.04E-03
5300000	6.58E-03
5500000	6.43E-03
5800000	6.95E-03
6000000	7.24E-03
6200000	7.97E-03
6500000	7.34E-03
7000000	7.27E-03
7500000	7.58E-03
7750000	8.60E-03
8000000	7.38E-03
8500000	7.56E-03
9000000	7.49E-03
10000000	8.27E-03
11000000	8.38E-03
11500000	9.27E-03
12000000	8.71E-03
13000000	7.21E-03
14000000	5.97E-03
14500000	5.75E-03
15000000	7.09E-03
16000000	8.34E-03
17000000	8.80E-03
18000000	9.00E-03
19000000	8.27E-03
20000000	1.01E-02
21000000	1.03E-02
22000000	1.68E-02
23000000	1.27E-02
24000000	1.44E-02
25000000	1.18E-02
26000000	1.54E-02
27000000	1.30E-02
28000000	1.62E-02
29000000	1.31E-02
30000000	1.39E-02
32000000	1.71E-02
34000000	1.81E-02
36000000	1.99E-02
38000000	2.15E-02
40000000	2.17E-02
42000000	1.99E-02
44000000	2.16E-02
46000000	1.92E-02
48000000	2.31E-02
50000000	2.35E-02
52000000	2.64E-02
54000000	2.64E-02
56000000	2.67E-02
58000000	2.46E-02
60000000	2.31E-02
64000000	2.04E-02
68000000	2.05E-02
72000000	2.27E-02
76000000	2.40E-02
80000000	2.57E-02
84000000	3.40E-02
88000000	3.46E-02
92000000	3.55E-02
96000000	3.52E-02
100000000	3.55E-02
104000000	3.50E-02
108000000	4.57E-02
112000000	4.38E-02
116000000	4.42E-02
120000000	4.36E-02
128000000	4.26E-02
136000000	4.19E-02
144000000	4.03E-02
152000000	4.20E-02
160000000	4.25E-02
168000000	4.46E-02
176000000	4.31E-02
184000000	4.50E-02
192000000	4.22E-02
200000000	4.20E-02
